player_id,player_name,position,country,date_of_birth,height
p11270,Harpal Singh,Midfielder,England,9/15/1981,170
p11275,Scott McDonald,Forward,Australia,8/21/1983,173
p112763,Pierce Sweeney,Defender,Ireland,9/11/1994,183
p11278,José Bosingwa,Defender,Portugal,8/24/1982,183
p1128,Kevin Poole,Goalkeeper,England,7/21/1963,178
p11281,Eric Djemba-Djemba,Midfielder,Cameroon,5/4/1981,174
p11288,Bruno Cheyrou,Midfielder,France,5/10/1978,187
p1129,Wayne Brown,Defender,England,8/20/1977,183
p112979,Sammy Adjei,Forward,Ghana,1/18/1992,186
p112991,Kenneth Omeruo,Defender,Nigeria,10/17/1993,185
p112994,Rubén Sobrino,Forward,Spain,6/1/1992,185
p1130,Gary Rowett,Defender,England,3/6/1974,183
p113037,Cameron Humphreys-Grant,Defender,England,8/22/1998,185
p1131,Titus Bramble,Defender,England,7/31/1981,185
p1132,Jimmy Walker,Goalkeeper,England,7/9/1973,180
p1133,Martin Grainger,Defender,England,8/23/1972,180
p11334,Petr Cech,Goalkeeper,Czech Republic,5/20/1982,196
p1135,Bryan Hughes,Midfielder,England,6/19/1976,178
p11352,Bruno,Defender,Spain,10/1/1980,181
p113534,Matt Macey,Goalkeeper,England,9/9/1994,205
p113564,Sam Byram,Defender,England,9/16/1993,180
p1136,Neil Pointon,Defender,England,11/28/1964,178
p113688,Oumar Niasse,Forward,Senegal,4/18/1990,182
p113691,Mesca,Midfielder,Guinea-Bissau,5/6/1993,175
p113693,Kurtis March,Midfielder,Wales,4/30/1993,175
p113694,James Loveridge,Forward,Wales,5/16/1994,188
p1137,Graham Hyde,Midfielder,England,11/10/1970,170
p11378,Mike Williamson,Defender,England,11/8/1983,191
p113789,Ben Barclay,Defender,England,10/7/1996,\N
p1138,Adrian Viveash,Defender,England,9/30/1969,188
p113950,Louis Harris,Midfielder,England,12/7/1992,183
p113992,Josh Pritchard,Midfielder,England,9/23/1992,175
p113993,Lasse Vigen,Midfielder,Denmark,8/15/1994,180
p113994,Liam Marrs,Defender,England,11/26/1992,175
p113999,Jordan Laidler,Midfielder,England,7/1/1995,169
p114000,George Honeyman,Midfielder,England,9/8/1994,173
p114004,Lewis King,Goalkeeper,England,5/8/1993,193
p114041,Jack Price,Midfielder,England,12/19/1992,191
p114042,Samir Carruthers,Midfielder,Ireland,4/4/1993,173
p114054,Omar Bogle,Forward,England,7/26/1992,187
p114090,Ben Heneghan,Defender,England,9/19/1993,191
p114091,Stephen Arthurworrey,Defender,England,10/15/1994,195
p114093,Matthew Pennington,Defender,England,10/6/1994,185
p114094,Hallam Hope,Forward,England,3/17/1994,179
p114100,George Green,Midfielder,England,1/2/1996,183
p114128,Jonny,Defender,Spain,3/3/1994,175
p114241,Harry Toffolo,Defender,England,8/19/1995,183
p114242,Jamar Loza,Forward,Jamaica,5/10/1994,178
p114243,Jacob Murphy,Midfielder,England,2/24/1995,179
